cycles,epigenomics,genome,soykb
6.074095726013184,11.886103391647339,6.775039434432983,8.435856103897095
6.174634218215942,12.193560600280762,6.955887794494629,8.645311117172241
6.298698425292969,12.203103303909302,7.633816242218018,8.677696228027344
6.336924314498901,12.345760107040405,8.783235311508179,8.686076641082764
6.338781356811523,12.492884635925293,8.812393188476562,8.691493511199951
6.484680652618408,13.667946577072144,8.877177715301514,8.718706130981445
6.571535587310791,13.673742055892944,9.103253841400146,8.719757318496704
6.684711456298828,13.701912879943848,9.272416114807127,8.763911724090576
6.770401239395142,13.714352130889893,11.609639406204224,8.862694025039673
6.867293834686279,13.717833757400513,11.928385257720947,8.91797661781311
6.884268760681152,13.766374588012695,11.947800874710085,9.14307451248169
7.0737245082855225,13.776036262512207,11.947896718978882,9.166492938995361
7.129082679748535,13.821932792663574,12.03630518913269,9.215649843215942
7.132621049880981,13.822978019714355,12.180293560028076,9.2290780544281
7.207311391830444,13.83293342590332,12.191797018051147,9.238525390625
7.21758222579956,13.84426498413086,12.468910694122314,9.265392541885376
7.234912633895874,13.940461158752441,12.709667682647703,9.271915674209595
7.28645396232605,13.998106479644775,12.890157222747805,9.359713792800903
